2025-08-01 21:53:35,922 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:35.922386", "threat_type": "signature", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:53:35,935 - WARNING - {"timestamp": "2025-08-01T21:53:35.935034", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6629367024677577, "details": {"type": "anomaly", "score": -0.6629367024677577, "confidence": 0.6629367024677577}}
2025-08-01 21:53:35,935 - WARNING - {"timestamp": "2025-08-01T21:53:35.935920", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6273549780990874, "details": {"type": "anomaly", "score": -0.6273549780990874, "confidence": 0.6273549780990874}}
2025-08-01 21:53:35,935 - WARNING - {"timestamp": "2025-08-01T21:53:35.935920", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:35,935 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:35.935920", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "syn_flood", "confidence": 1.0}}
2025-08-01 21:53:35,935 - WARNING - {"timestamp": "2025-08-01T21:53:35.935920", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:53:35,947 - CRITICAL - High confidence threat detected: {"timestamp": "2025-08-01T21:53:35.935920", "threat_type": "signature", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 1.0, "details": {"type": "signature", "rule": "port_scan", "confidence": 1.0}}
2025-08-01 21:53:36,150 - WARNING - {"timestamp": "2025-08-01T21:53:36.150910", "threat_type": "anomaly", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 0.6686349434440222, "details": {"type": "anomaly", "score": -0.6686349434440222, "confidence": 0.6686349434440222}}
2025-08-01 21:53:36,150 - WARNING - {"timestamp": "2025-08-01T21:53:36.150910", "threat_type": "anomaly", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 0.6686349434440222, "details": {"type": "anomaly", "score": -0.6686349434440222, "confidence": 0.6686349434440222}}
2025-08-01 21:53:36,166 - WARNING - {"timestamp": "2025-08-01T21:53:36.166567", "threat_type": "anomaly", "source_ip": "3.233.158.26", "destination_ip": "192.168.0.164", "confidence": 0.6458052838406415, "details": {"type": "anomaly", "score": -0.6458052838406415, "confidence": 0.6458052838406415}}
2025-08-01 21:53:36,168 - WARNING - {"timestamp": "2025-08-01T21:53:36.168587", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.5253062247982128, "details": {"type": "anomaly", "score": -0.5253062247982128, "confidence": 0.5253062247982128}}
2025-08-01 21:53:36,182 - WARNING - {"timestamp": "2025-08-01T21:53:36.182616", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.5583817315460678, "details": {"type": "anomaly", "score": -0.5583817315460678, "confidence": 0.5583817315460678}}
2025-08-01 21:53:36,182 - WARNING - {"timestamp": "2025-08-01T21:53:36.182616", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6190861815076838, "details": {"type": "anomaly", "score": -0.6190861815076838, "confidence": 0.6190861815076838}}
2025-08-01 21:53:36,182 - WARNING - {"timestamp": "2025-08-01T21:53:36.182616", "threat_type": "anomaly", "source_ip": "192.168.0.164", "destination_ip": "3.233.158.26", "confidence": 0.6686349434440222, "details": {"type": "anomaly", "score": -0.6686349434440222, "confidence": 0.6686349434440222}}
